Categoria;Palabras clave;Frecuencia al interior del grupo;Frecuencia entre los grupos
Operativo;patronaje;1;3
Ventas - Comercial - Administración;autoventas;5;1
Financiero;us;1;2
Servicio al cliente;us;3;2
Talento TI;mulesoft;2;1
Talento TI;sofware;1;3
Diseño;sofware;1;3
Project Manager;sofware;1;3
Project Manager;contralor;2;1
Ventas - Comercial - Administración;parcial;8;1
Operativo;concretos;1;1
Salud;impacto;1;1
Construcción;ayudante;50;4
Gastronomia;ayudante;8;4
Operativo;ayudante;398;4
Salud;ayudante;1;4
Educación;participate;1;1
Operativo;nhr;12;1
Ventas - Comercial - Administración;callcenter;11;2
Servicio al cliente;callcenter;36;2
Ventas - Comercial - Administración;compra;6;1
Diseño;gusto;1;2
Ventas - Comercial - Administración;gusto;2;2
Ventas - Comercial - Administración;indirectas;6;1
Operativo;refilado;11;1
Ventas - Comercial - Administración;universitarios;1;9
Financiero;universitarios;3;9
Practicantes - Aprendices;universitarios;13;9
Project Manager;universitarios;1;9
Psicologia;universitarios;2;9
Servicio al cliente;universitarios;2;9
Marketing;universitarios;1;9
Contaduria;universitarios;1;9
Diseño;universitarios;3;9
Operativo;litografia;2;3
Diseño;litografia;1;3
Ventas - Comercial - Administración;litografia;1;3
Operativo;empacador;13;1
Operativo;cubrimiento;2;2
Contaduria;cubrimiento;1;2
Construcción;yeso;2;1
Marketing;agent;1;2
Servicio al cliente;agent;141;2
Servicio al cliente;asistencial;2;3
Salud;asistencial;20;3
Operativo;asistencial;8;3
Operativo;centenario;1;1
Talento TI;mvc;4;1
Practicantes - Aprendices;aministrativo;1;1
Talento TI;cubiertas;2;1
Salud;albergue;1;1
Operativo;informes;3;1
Operativo;trituradora;1;1
Salud;auxenfermeria;1;1
Operativo;semanacali;1;1
Operativo;carulla;1;2
Gastronomia;carulla;2;2
Salud;enfermeros;17;2
Servicio al cliente;enfermeros;3;2
Operativo;alamacen;1;1
Servicio al cliente;contacto;3;1
Salud;bslcls;1;1
Ventas - Comercial - Administración;publicas;1;1
Operativo;funeraria;1;2
Ventas - Comercial - Administración;funeraria;1;2
Gestión de Calidad;farmaceutica;2;3
Operativo;farmaceutica;16;3
Ventas - Comercial - Administración;farmaceutica;1;3
Salud;alqueria;1;1
Ventas - Comercial - Administración;rabajo;2;1
Salud;partos;3;1
Operativo;manufactura;23;5
Gestión de Calidad;manufactura;2;5
Ventas - Comercial - Administración;manufactura;1;5
SST;manufactura;1;5
Contaduria;manufactura;2;5
Salud;unidad;4;4
Servicio al cliente;unidad;1;4
Operativo;unidad;5;4
Ventas - Comercial - Administración;unidad;2;4
Ventas - Comercial - Administración;palmeras;1;1
Practicantes - Aprendices;logisticalmacen;1;1
Talento TI;rgle;1;1
Operativo;funzao;7;1
Salud;radiologo;3;1
Construcción;agricultura;1;2
Operativo;agricultura;4;2
Talento TI;engineer;11;2
Servicio al cliente;engineer;1;2
Ventas - Comercial - Administración;pormotor;1;1
Gestión de Calidad;presidencia;1;1
Diseño;nmercadeo;1;1
Operativo;criogenico;1;1
Marketing;carpas;1;1
